URI	Notation	Label	Parent	Beschreibung	Anmerkung	Applikationsschema	Thema	Status
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1112	1112	Carbonathaltiger Grobmaterial-Rohboden	Grobmaterial Rohboden	Carbonathaltiger Grobmaterial-Rohboden		http://inspire.ec.europa.eu/applicationschema/so	http://inspire.ec.europa.eu/theme/so	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1261	1261	Carbonathaltiger Tschernosem	Tschernosem	Carbonathaltiger Tschernosem		http://inspire.ec.europa.eu/applicationschema/so	http://inspire.ec.europa.eu/theme/so	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1262	1262	Carbonathaltiger brauner Tschernosem	Tschernosem	Carbonathaltiger brauner Tschernosem		http://inspire.ec.europa.eu/applicationschema/so	http://inspire.ec.europa.eu/theme/so	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1760	1760	Deponieboden	Kolluvien und Anthrosole	Deponieboden (YD)		http://inspire.ec.europa.eu/applicationschema/so	http://inspire.ec.europa.eu/theme/so	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/2210	2210	Dy	Unterwasserboeden	Dy (WD)		http://inspire.ec.europa.eu/applicationschema/so	http://inspire.ec.europa.eu/theme/so	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1421	1421	Eisen - Humus - Podsol	Podsol	Eisen - Humus - Podsol		http://inspire.ec.europa.eu/applicationschema/so	http://inspire.ec.europa.eu/theme/so	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1431	1431	Eisen - Humus - Staupodsol	Staupodsol	Eisen - Humus - Staupodsol		http://inspire.ec.europa.eu/applicationschema/so	http://inspire.ec.europa.eu/theme/so	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1422	1422	Eisen - Podsol	Podsol	Eisen - Podsol		http://inspire.ec.europa.eu/applicationschema/so	http://inspire.ec.europa.eu/theme/so	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1432	1432	Eisen - Staupodsol	Staupodsol	Eisen - Staupodsol		http://inspire.ec.europa.eu/applicationschema/so	http://inspire.ec.europa.eu/theme/so	http://inspire.ec.europa.eu/registry/status/valid
https://registry.inspire.gv.at/codelist/SoilType_BORIS_S322/1610	1610	Farb - Substratboden	Substratboeden	Farb - Substratboden (UF)		http://inspire.ec.europa.eu/applicationschema/so	http://inspire.ec.europa.eu/theme/so	http://inspire.ec.europa.eu/registry/status/valid
